"trabajo_citado","doi_citado","anio_citado","articulo_citante","anio_citante","doi_citante","clasificacion"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"The lizard microbiome: patterns, drivers, and functional implications",2026,"https://doi.org/10.1093/femsle/fnag049","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Temporal stability and geographical divergence of skin microbiota in a treefrog: insights from microbial communities and volatile secretions",2026,"https://doi.org/10.1093/ismeco/ycag125","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Host and Environmental Drivers of Gut Microbiome Variation in Wild Anolis Lizards",2026,"https://doi.org/10.1111/mec.70358","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"The microbiome in reptile health, disease, and ecology",2026,"https://doi.org/10.1128/mmbr.00128-25","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Microbial diversity, antimicrobial resistance and zoonotic implications of the reptile gut microbiota: an updated review",2026,"https://doi.org/10.3389/fmicb.2026.1913228","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Targeting the Th17/Treg axis: from immunological insights to therapeutic avenues in atherosclerosis",2026,"https://doi.org/10.3389/fimmu.2026.1923083","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Petroleum pollution affects soil chemistry and reshapes the diversity and networks of microbial communities",2022,"https://doi.org/10.1016/j.ecoenv.2022.114129","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Bioprospecting and Challenges of Plant Microbiome Research for Sustainable Agriculture, a Review on Soybean Endophytic Bacteria",2022,"https://doi.org/10.1007/s00248-022-02136-z","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Tetracycline inhibits the nitrogen fixation ability of soybean (Glycine max (L.) Merr.) nodules in black soil by altering the root and rhizosphere bacterial communities",2023,"https://doi.org/10.1016/j.scitotenv.2023.168047","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Nitrogen Fertilizer Application Alters the Root Endophyte Bacterial Microbiome in Maize Plants, but Not in the Stem or Rhizosphere Soil",2022,"https://doi.org/10.1128/spectrum.01785-22","B (coautor, no autor evaluado)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Microbial endophytes: prospects in biological control of plant pathogens and plant growth stimulation for sustainable agriculture",2024,"https://doi.org/10.1016/b978-0-443-13365-7.00015-4","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Microbial inoculation alters rhizoplane bacterial community and correlates with increased rice yield",2024,"https://doi.org/10.1016/j.pedobi.2024.150945","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Fungal–Bacterial Networks in the Habitat of SongRong (Tricholoma matsutake) and Driving Factors of Their Distribution Rules",2022,"https://doi.org/10.3390/jof8060575","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Adapting to arid conditions: the interplay of plant roots, microbial communities, and exudates in the face of drought challenges",2024,"https://doi.org/10.1016/b978-0-443-23956-4.00028-4","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Halophytes as holobionts: disentangling the contribution of plant genotype and environmental factors to the associated microbiome of hydro- and xerohalophytes",2025,"https://doi.org/10.1016/j.crmicr.2025.100511","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Role of Microbiome on Healthy Growth and Yield of Rice Plant",2024,"https://doi.org/10.1007/978-981-99-9388-8_9","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"A Comparison of Rhizospheric and Endophytic Bacteria in Early and Late-Maturing Pumpkin Varieties",2022,"https://doi.org/10.3390/microorganisms10081667","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Response of bacterial community structure to different ecological niches and their functions in Korean pine forests",2022,"https://doi.org/10.7717/peerj.12978","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Shifts in root-associated fungal communities under drought conditions in Ricinus communis",2023,"https://doi.org/10.1016/j.funeco.2023.101225","B (coautor, no autor evaluado)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Spatial and Temporal Shifts of Endophytic Bacteria in Conifer Seedlings of Abies religiosa (Kunth) Schltdl. & Cham.",2024,"https://doi.org/10.1007/s00248-024-02398-9","B (coautor, no autor evaluado)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Soil rather than root traits drives variation in the rhizosphere microbial community of Pinus taiwanensis in a subtropical mountain ecosystem",2025,"https://doi.org/10.1016/j.apsoil.2025.106106","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Pinus sylvestris provenance climate differentiates roots, bacterial communities, and their relationships — Evidence from a common garden experiment",2025,"https://doi.org/10.1016/j.scitotenv.2025.180528","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Changes of Key Soil Factors, Biochemistry and Bacterial Species Composition during Seasons in the Rhizosphere and Roots of Codonopsis pilosula (tangshen)",2023,"https://doi.org/10.3390/agronomy13061545","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Random mechanisms govern bacterial succession in bioinoculated beet plants",2025,"https://doi.org/10.1038/s41598-025-92688-0","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Peer Review #2 of ""Response of bacterial community structure to different ecological niches and their functions in Korean pine forests (v0.2)""",2022,"https://doi.org/10.7287/peerj.12978v0.2/reviews/2","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Peer Review #3 of ""Response of bacterial community structure to different ecological niches and their functions in Korean pine forests (v0.2)""",2022,"https://doi.org/10.7287/peerj.12978v0.2/reviews/3","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Peer Review #2 of ""Response of bacterial community structure to different ecological niches and their functions in Korean pine forests (v0.1)""",2022,"https://doi.org/10.7287/peerj.12978v0.1/reviews/2","A y B (independiente)"
